,level_0,index,up_count,down_count,total_count,polar_score,polarity
149,970,하락/NNG;최저/NNG,17.0,35.0,52.0,0.4519147871330837,Dovish
150,975,불확실성/NNG;줄/VV,17.0,25.0,42.0,0.6326807019863172,Dovish
151,977,심리/NNG;부정적/VAX,17.0,35.0,52.0,0.4519147871330837,Dovish
152,978,경제/NNG;성장률/NNG;그치/VV,17.0,22.0,39.0,0.7189553431662695,Dovish
153,979,경제/NNG;성장률/NNG;하락/NNG,17.0,21.0,38.0,0.7531913118884729,Dovish
154,981,인플레이션/NNG;방어/NNG,17.0,21.0,38.0,0.7531913118884729,Dovish
155,997,국채/NNG;강세/NNG,16.0,20.0,36.0,0.7443302376309613,Dovish
156,999,경제/NNG;성장률/NNG;마이너스/NNG,16.0,20.0,36.0,0.7443302376309613,Dovish
157,1000,채권/NNG;선호/NNG,16.0,28.0,44.0,0.5316644554506866,Dovish
158,1002,경제/NNG;심각/NNG,16.0,28.0,44.0,0.5316644554506866,Dovish
159,1005,가계/NNG;대출/NNG;급증/NNG,16.0,20.0,36.0,0.7443302376309613,Dovish
160,1017,생산/NNG;차질/NNG,16.0,21.0,37.0,0.7088859406009156,Dovish
161,1020,gdp/NNG;감소/NNG,16.0,31.0,47.0,0.48021305653610413,Dovish
162,1022,물가/NNG;상승률/NNG;하락/NNG,16.0,28.0,44.0,0.5316644554506866,Dovish
163,1027,경제/NNG;견조/NNG,16.0,22.0,38.0,0.6766638523917831,Dovish
164,1039,경제/NNG;저성장/NNG,16.0,32.0,48.0,0.46520639851935086,Dovish
165,1042,최대/NNG;낮/VA,16.0,20.0,36.0,0.7443302376309613,Dovish
166,1047,경제/NNG;완만/NNG;회복/NNG,16.0,24.0,40.0,0.6202751980258011,Dovish
167,1058,하향/NNG;이탈/NNG,16.0,24.0,40.0,0.6202751980258011,Dovish
168,1060,국채/NNG;발행/NNG;증가/NNG,16.0,36.0,52.0,0.4135167986838674,Dovish
169,1071,돈/NNG;많/VA,15.0,22.0,37.0,0.6343723616172967,Dovish
170,1075,우려/NNG;확대/NNG,15.0,23.0,38.0,0.6067909545904577,Dovish
171,1086,회복/NNG;부진/NNG,15.0,25.0,40.0,0.5582476782232211,Dovish
172,1099,경제/NNG;나쁘/VA,15.0,25.0,40.0,0.5582476782232211,Dovish
173,1100,심리/NNG;우세/NNG,15.0,27.0,42.0,0.5168959983548344,Dovish
174,1110,생산/NNG;감소/NNG,15.0,29.0,44.0,0.481247998468294,Dovish
175,1115,통화/NNG;절하/NNG,15.0,27.0,42.0,0.5168959983548344,Dovish
176,1128,최대/NNG;늘/VV,15.0,24.0,39.0,0.5815079981491886,Dovish
177,1130,실적/NNG;저조/NNG,15.0,20.0,35.0,0.6978095977790264,Dovish
178,1140,국채/NNG;발행/NNG;늘/VV,15.0,27.0,42.0,0.5168959983548344,Dovish
179,1145,국채/NNG;내리/VV,15.0,21.0,36.0,0.6645805693133585,Dovish
180,1147,판매/NNG;호조/NNG,15.0,25.0,40.0,0.5582476782232211,Dovish
181,1155,국채선물/NNG;가격/NNG;상승/NNG,15.0,19.0,34.0,0.7345364187147646,Dovish
182,1156,경제/NNG;바닥/NNG,15.0,26.0,41.0,0.5367766136761741,Dovish
183,1157,국채/NNG;마이너스/NNG,15.0,21.0,36.0,0.6645805693133585,Dovish
184,1158,수출/NNG;부정적/VAX,15.0,29.0,44.0,0.481247998468294,Dovish
185,1173,소비/NNG;심리/NNG;악화/NNG,14.0,18.0,32.0,0.723654397696768,Dovish
186,1176,확장/NNG;위축/NNG,14.0,24.0,38.0,0.542740798272576,Dovish
187,1180,신용경색/NNG;해소/NNG,14.0,22.0,36.0,0.5920808708428102,Dovish
188,1182,외국인/NNG;이탈/NNG;우려/NNG,14.0,21.0,35.0,0.6202751980258012,Dovish
189,1191,유로존/NNG;우려/NNG,14.0,24.0,38.0,0.542740798272576,Dovish
190,1202,변동성/NNG;증가/NNG,14.0,22.0,36.0,0.5920808708428102,Dovish
191,1210,위험/NNG;감소/NNG,14.0,41.0,55.0,0.31770193069614205,Dovish
192,1222,인하/NNG;부정적/VAX,14.0,21.0,35.0,0.6202751980258012,Dovish
193,1233,통안채/NNG;오르/VV;상승/NNG,14.0,25.0,39.0,0.521031166341673,Dovish
194,1246,통화/NNG;급락/NNG,14.0,18.0,32.0,0.723654397696768,Dovish
195,1249,대출/NNG;상환/NNG;부담/NNG,14.0,20.0,34.0,0.6512889579270912,Dovish
196,1250,고용/NNG;성장/NNG,14.0,19.0,33.0,0.6855673241337803,Dovish
197,1257,테이퍼링/NNG;양적완화/NNG;축소/NNG,14.0,20.0,34.0,0.6512889579270912,Dovish
198,1266,인하/NNG;그치/VV,14.0,23.0,37.0,0.5663382242844271,Dovish
199,1267,순이자마진/NNG;하락/NNG,13.0,28.0,41.0,0.431977370053683,Dovish
200,1270,가계/NNG;소득/NNG;증가/NNG,13.0,16.0,29.0,0.7559603975939452,Dovish
201,1276,양적완화/NNG;확대/NNG,13.0,25.0,38.0,0.48381465446012495,Dovish
202,1278,진작/NNG;효과/NNG,13.0,17.0,30.0,0.7114921389119485,Dovish
203,1283,신용스프레드/NNG;확대/NNG,13.0,24.0,37.0,0.5039735983959635,Dovish
