,level_0,index,up_count,down_count,total_count,polar_score,polarity
181,603,상승률/NNG;둔화/NNG,26.0,13.0,39.0,1.8608255940774037,Hawkish
182,606,코픽스/NNG;상승/NNG,26.0,5.0,31.0,4.8381465446012495,Hawkish
183,608,산업/NNG;생산/NNG;증가/NNG,26.0,13.0,39.0,1.8608255940774037,Hawkish
184,610,인상/NNG;늦/VA,26.0,14.0,40.0,1.727909480214732,Hawkish
185,612,실적/NNG;증가/NNG,26.0,15.0,41.0,1.6127155148670833,Hawkish
186,613,상방/NNG;위험/NNG,25.0,15.0,40.0,1.5506879950645032,Hawkish
187,615,부동산/NNG;둔화/NNG,25.0,15.0,40.0,1.5506879950645032,Hawkish
188,622,디플레이션/NNG;탈출/NNG,25.0,16.0,41.0,1.4537699953729715,Hawkish
189,626,대출심사/NNG;강화/NNG,25.0,11.0,36.0,2.114574538724322,Hawkish
190,630,주택담보대출/NNG;확대/NNG,25.0,8.0,33.0,2.907539990745943,Hawkish
191,631,미래/NNG;성장/NNG,25.0,15.0,40.0,1.5506879950645032,Hawkish
192,633,채권/NNG;수익률/NNG;하락/NNG,25.0,16.0,41.0,1.4537699953729715,Hawkish
193,636,건설/NNG;부진/NNG,25.0,17.0,42.0,1.3682541132922086,Hawkish
194,639,경제/NNG;성장/NNG;촉진/NNG,25.0,14.0,39.0,1.6614514232833961,Hawkish
195,640,정책/NNG;여력/NNG;확보/NNG,25.0,14.0,39.0,1.6614514232833961,Hawkish
196,642,심리/NNG;냉각/NNG,25.0,12.0,37.0,1.9383599938306286,Hawkish
197,646,원화/NNG;환율/NNG;오르/VV,24.0,8.0,32.0,2.791238391116105,Hawkish
198,648,인상/NNG;힘들/VA,24.0,14.0,38.0,1.5949933663520601,Hawkish
199,653,외채/NNG;증가/NNG,24.0,13.0,37.0,1.7176851637637571,Hawkish
200,654,고용/NNG;악화/NNG,24.0,15.0,39.0,1.488660475261923,Hawkish
201,657,경착륙/NNG;우려/NNG,24.0,10.0,34.0,2.2329907128928843,Hawkish
202,660,안정/NNG;확보/NNG,24.0,11.0,35.0,2.0299915571753493,Hawkish
203,661,안정성/NNG;높/VV,24.0,13.0,37.0,1.7176851637637571,Hawkish
204,662,인플레이션/NNG;위협/NNG,24.0,17.0,41.0,1.3135239487605201,Hawkish
205,663,인상/NNG;가능성/NNG;낮/VV,24.0,16.0,40.0,1.3956191955580526,Hawkish
206,665,회복/NNG;속도/NNG;둔화/NNG,24.0,8.0,32.0,2.791238391116105,Hawkish
207,669,경제/NNG;하락/NNG,24.0,15.0,39.0,1.488660475261923,Hawkish
208,670,마진/NNG;개선/NNG,24.0,13.0,37.0,1.7176851637637571,Hawkish
209,671,비용/NNG;높/VV,24.0,11.0,35.0,2.0299915571753493,Hawkish
210,673,우려/NNG;과도/NNG,24.0,11.0,35.0,2.0299915571753493,Hawkish
211,676,높/VA;물가/NNG;상승/NNG,23.0,2.0,25.0,10.699747165945071,Hawkish
212,677,국고채/NNG;내리/VV;하락/NNG,23.0,8.0,31.0,2.674936791486268,Hawkish
213,678,예상/NNG;인상/NNG,23.0,16.0,39.0,1.337468395743134,Hawkish
214,680,거시/NNG;안정/NNG,23.0,15.0,38.0,1.4266329554593429,Hawkish
215,681,고용/NNG;충격/NNG,23.0,16.0,39.0,1.337468395743134,Hawkish
216,691,인플레이션/NNG;심리/NNG;억제/NNG,23.0,6.0,29.0,3.566582388648357,Hawkish
217,693,수출/NNG;성장/NNG,23.0,14.0,37.0,1.5285353094207244,Hawkish
218,698,경제/NNG;침체/NNG;우려/NNG,23.0,10.0,33.0,2.139949433189014,Hawkish
219,699,부동산/NNG;가격/NNG;거품/NNG,23.0,10.0,33.0,2.139949433189014,Hawkish
