,지역,유가,주유소명,브랜드,주소,셀프주유소여부
1239,은평구,1418,(주)명연에너지 수색훼미리주유소,현대오일뱅크,서울 은평구 수색로 236 (수색동),Y
1240,은평구,1419,대성산업㈜ 대성주유소,GS칼텍스,서울 은평구 통일로 642,Y
1241,은평구,1425,뉴타운셀프주유소,S-OIL,서울특별시 은평구  통일로 1031,Y
1242,은평구,1435,박석고개주유소,SK에너지,서울 은평구 통일로 945 (갈현동),Y
1243,은평구,1435,은평뉴타운주유소,SK에너지,서울 은평구 통일로 924 (불광동),Y
1244,은평구,1439,성원이앤에스(주)은평지점,GS칼텍스,서울 은평구 통일로 968 (진관동),N
1245,은평구,1445,현대오일뱅크㈜직영 은평드림주유소,현대오일뱅크,서울 은평구 통일로 1151 (진관동),N
1246,은평구,1447,제이제이에너지,SK에너지,서울 은평구 응암로 163,Y
1247,은평구,1498,코끼리주유소,자가상표,서울 은평구 서오릉로 41 (녹번동),N
1276,종로구,1485,㈜지에스이앤알 평창주유소,현대오일뱅크,서울 종로구 평창문화로 135 (평창동),N
1277,종로구,1517,자하문주유소,SK에너지,서울 종로구 자하문로 248 (부암동),Y
1278,종로구,1520,안풍주유소,S-OIL,서울 종로구 자하문로 303,N
1279,종로구,1540,구도일주유소특종,S-OIL,서울 종로구 평창문화로 90 (평창동),N
1280,종로구,1888,현대오일뱅크㈜직영 재동주유소,현대오일뱅크,서울 종로구 율곡로 58 (경운동),N
1281,종로구,1898,SK북악주유소,SK에너지,서울 종로구 평창문화로 137,N
1282,종로구,1995,경복궁주유소,GS칼텍스,서울 종로구 율곡로 6 (중학동),N
1283,종로구,1998,(주)중앙에너비스 혜화주유소,SK에너지,서울 종로구 창경궁로35길 1,N
1284,종로구,1998,(주)대양씨앤씨 사직주유소,GS칼텍스,서울 종로구 사직로 65 (사직동),N
1305,중구,1498,세화주유소,알뜰주유소,서울 중구 왕십리로 403,N
1306,중구,1628,현대오일뱅크 장원주유소,현대오일뱅크,서울 중구 동호로 203 (신당동),N
1307,중구,1758,장충주유소,SK에너지,서울 중구 장충단로 202 (장충동1가),N
1308,중구,1798,화성주유소,S-OIL,서울 중구 다산로 233,N
1309,중구,1798,신당동주유소,SK에너지,서울 중구 다산로 242 (신당동),N
1310,중구,1869,SK에너지(주) 통일주유소,SK에너지,서울 중구 동호로 296,N
1311,중구,1971,약수주유소,GS칼텍스,서울 중구 다산로 173,N
1312,중구,2099,SK에너지(주) 퇴계로주유소,SK에너지,서울 중구 퇴계로 228 (필동2가),N
1313,중구,2119,필동주유소,GS칼텍스,서울 중구  퇴계로 196 (필동2가),N
1314,중구,2249,서남주유소,SK에너지,서울 중구 통일로 30,N
1341,중랑구,1407,(주)자연에너지 대창주유소,현대오일뱅크,서울 중랑구 동일로 636 (면목동),N
1342,중랑구,1407,면목SELF주유소,SK에너지,서울 중랑구 동일로 627 (면목동),Y
1343,중랑구,1415,우림주유소,GS칼텍스,서울 중랑구 용마산로 487 (망우동),Y
1344,중랑구,1417,오천만주유소,S-OIL,서울 중랑구 동일로 547 (면목동),Y
1345,중랑구,1417,신내주유소,SK에너지,서울 중랑구 용마산로 705 (신내동),Y
1346,중랑구,1427,구도일주유소 동천,S-OIL,서울 중랑구 동일로 654 (면목동),Y
1348,중랑구,1429,(주)기지에너지,S-OIL,서울 중랑구 용마산로 716 (신내동),N
1349,중랑구,1435,대양주유소,GS칼텍스,서울 중랑구 봉우재로 105 (상봉동),N
1350,중랑구,1435,망우주유소(self),GS칼텍스,서울 중랑구 망우로 311 (상봉동),Y
1351,중랑구,1437,(주)태영 구도일주유소 한인,S-OIL,서울 중랑구 망우로 170 (상봉동),Y
1352,중랑구,1438,용마로주유소,SK에너지,서울 중랑구 용마산로 309 (면목동),Y
1353,중랑구,1449,지에스칼텍스㈜ 소망주유소,GS칼텍스,서울 중랑구 망우로 475,Y
1354,중랑구,1458,현대오일뱅크㈜직영 중랑교셀프주유소,현대오일뱅크,서울 중랑구 망우로 229 (중화동),Y
