,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,행정동코드,행정동명,도로명주소,lon,lat
6055,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움3로 105-10, (종촌동)",127.24938440000001,36.50410104
6075,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611055000,고운동,"세종특별자치시 마음로 181, (고운동, 가락마을이지더원10단지)",127.228068,36.51481567
6088,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611055000,고운동,"세종특별자치시 마음로 272-9, (고운동)",127.23606409999998,36.519138899999994
6095,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 도움8로 81, (어진동)",127.27060259999999,36.50442191
6102,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 절재로 172, (어진동)",127.26014099999999,36.50811557
6114,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 가름로 232, (어진동)",127.26491440000001,36.49561813
6128,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
6157,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원8길 18, (원리)",127.3004334,36.60079615
6175,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611053000,아름동,"세종특별자치시 달빛로 216, (아름동)",127.2524098,36.51801681
6192,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 한누리대로 499, (어진동)",127.2611239,36.50806759
6193,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
6198,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
6227,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611053000,아름동,"세종특별자치시 아름서길 27, (아름동)",127.24271809999999,36.51461217
6238,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611053000,아름동,"세종특별자치시 세종로 1234-12, (아름동)",127.242682,36.5125842
6242,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
6243,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 도움8로 11-11, (어진동)",127.26287169999999,36.50740249
6245,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
6248,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611055000,고운동,"세종특별자치시 마음로 272-11, (고운동)",127.2361785,36.51886026
6281,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
