계약년월,계약일,시군구,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),거래금액(만원),층,건축년도,해제사유발생일
202010,22,세종특별자치시 조치원읍 침산리,148,3,고려,76.32,53.75,"9,800",1,1986,
202010,28,세종특별자치시 부강면 부강리,1008,1,송정빌라,22.42,19.44,"1,600",1,2001,
202011,2,세종특별자치시 연서면 봉암리,422,8,세룡빌라,72.57,78.17,"6,000",2,1992,
202011,9,세종특별자치시 부강면 부강리,988,5,안흥7동,50.14,42.75,"3,600",2,1991,
202011,9,세종특별자치시 조치원읍 신흥리,24,3,신흥연립,70.42,39.26,"5,500",3,1982,
202011,10,세종특별자치시 연기면 연기리,601,5,수정다세대주택(2동),70.83,54.25,"4,500",1,1994,
202011,16,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,21.6349,6.44,"9,500",8,2016,
202011,17,세종특별자치시 연기면 보통리,340,1,강람1동강람2동,48.6,35.4,"6,000",3,1991,
202011,18,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),54.342,41.32,"13,800",1,2015,
202011,19,세종특별자치시 조치원읍 명리,61,1,명동빌라,72.87,43.02,"7,500",1,1982,
202011,19,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"22,500",3,1984,20201203
202011,19,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"22,500",3,1984,20201218
202011,19,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"22,500",3,1984,
202011,20,세종특별자치시 조치원읍 신흥리,24,3,신흥연립,70.42,39.26,"5,800",1,1982,
202011,20,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"25,400",1,1984,
202011,21,세종특별자치시 조치원읍 원리,132,5,고려2동,63.175,35.18,"4,000",3,1984,
202011,22,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,21.6349,6.44,"8,000",6,2016,
202011,22,세종특별자치시 보람동,744,0,스타힐타워Ⅱ,21.6349,6.25,"8,100",8,2016,
202011,25,세종특별자치시 금남면 용포리,144,0,금남주택,41.13,24.15,"5,000",1,1987,20201208
202011,25,세종특별자치시 조치원읍 교리,3,0,제일,51.21,54.6,"6,000",3,1988,
202011,26,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"22,000",3,1984,20201202
202011,26,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"25,500",1,1984,20201126
